Hierarchy,Library,Version
1,codetools,0.2-9
1,digest,0.6.4
1,gtools,3.4.1
1,labeling,0.3
1,lattice,0.20-34
1,MASS,7.3-45
1,profileModel,0.5-9
1,proto,0.3-10
1,RColorBrewer,1.1-2
1,stringr,0.6.2
2,colorspace,1.2-4
2,dichromat,2.0-0
2,gtable,0.1.2
2,iterators,1.0.7
2,Matrix,1.2-7.1
2,randomForest,4.6-10
2,rJava,0.9-7
2,xlsxjars,0.6.1
3,boot,1.3-18
3,car,2.0-22
3,glmnet,1.9-8
3,nlme,3.1-128
3,nnet,7.3-12
4,survival,2.37-7
5,gbm,2.1
5,Rcpp,0.11.6
6,munsell,0.4.2
7,plyr,1.8.1
8,foreach,1.4.2
8,gdata,2.13.3
8,minqa,1.2.4
8,nloptr,1.0.4
8,RcppEigen,0.3.2.4.0
8,reshape2,1.4
8,scales,0.2.4
9,brglm,0.5-9
9,Cubist,0.0.18
10,ggplot2,1.0.0
10,xlsx,0.5.7
11,lme4,1.1-7
12,BradleyTerry2,1.0-5
13,caret,6.0-41
14,data.table,1.11.4
14,mgcv,1.8-0
14,pbkrtest,0.4-2
14,SparseM,1.6
15,quantreg,5.11
15,FMHPI,2.0.1
16,HubzuDynamicPricingSOPModelV6,6.0.1.001